day,month,year,team1,team2,score1,score2
14,04,2013,18,25,0,3
13,04,2013,1,19,3,1
13,04,2013,2,12,1,1
13,04,2013,11,20,2,0
13,04,2013,22,15,0,0
13,04,2013,23,29,1,1

22,04,2013,17,2,3,0
21,04,2013,15,9,2,2
21,04,2013,27,16,3,1
20,04,2013,12,1,0,1
20,04,2013,19,22,2,1
20,04,2013,20,24,0,2
20,04,2013,25,11,1,0
20,04,2013,26,23,0,0
20,04,2013,28,18,1,1
20,04,2013,29,30,2,0

29,04,2013,2,25,6,1
28,04,2013,1,17,1,1
28,04,2013,9,26,2,0
28,04,2013,22,20,0,0
27,04,2013,18,15,0,6
27,04,2013,11,12,1,0
27,04,2013,23,28,0,3
27,04,2013,24,19,1,0
27,04,2013,30,27,2,2
27,04,2013,16,29,2,1

06,05,2013,25,24,1,1
05,05,2013,17,9,0,1
05,05,2013,15,11,0,0
04,05,2013,20,1,0,1
04,05,2013,27,23,1,0
04,05,2013,12,22,2,4
04,05,2013,19,2,1,2
04,05,2013,26,16,0,0
04,05,2013,28,30,2,3
04,05,2013,29,18,0,0

14,05,2013,22,16,0,2
14,05,2013,1,30,4,1
12,05,2013,17,26,2,1
12,05,2013,11,29,2,0
12,05,2013,12,15,1,3
12,05,2013,19,28,4,0
12,05,2013,20,18,1,2
12,05,2013,25,23,1,1
12,05,2013,24,27,1,2
11,05,2013,2,9,1,2

19,05,2013,9,11,2,1
19,05,2013,15,20,1,0
19,05,2013,16,19,2,3
19,05,2013,18,1,0,1
19,05,2013,23,24,1,1
19,05,2013,26,12,0,3
19,05,2013,27,25,1,0
19,05,2013,28,17,5,5
19,05,2013,29,22,4,2
19,05,2013,30,2,2,2

