,result,t1_avg_away_pts_tot,t1_avg_home_pts_tot,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_standing,t2_avg_away_pts_tot,t2_avg_home_pts_tot,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_mu,t2_avg_scrd_tot,t2_standing
80,1.0,0.45217391304347826,0.8434782608695651,0.0,1.2956521739130438,1.0695652173913044,0.5,1.0391304347826087,11.0,0.3869565217391305,0.37391304347826093,3.0000000000000004,0.7608695652173914,1.547826086956522,1.5000000000000002,0.8521739130434783,19.0
81,0.0,0.391304347826087,0.7608695652173914,1.4000000000000001,1.1521739130434783,1.3304347826086957,0.9,0.9130434782608695,13.0,0.42173913043478256,1.0347826086956522,1.4000000000000001,1.4565217391304348,1.317391304347826,0.9,1.5304347826086957,5.0
82,1.0,0.3956521739130435,0.7217391304347827,,1.1173913043478263,1.643478260869565,,1.0869565217391304,18.0,0.0,0.2608695652173913,,0.2608695652173913,0.34782608695652173,,0.15217391304347827,10.0
83,1.0,0.8782608695652175,1.1260869565217393,1.0,2.0043478260869567,1.0391304347826087,1.5000000000000002,2.11304347826087,3.0,0.14347826086956522,0.3130434782608696,1.0,0.30434782608695654,0.4434782608695652,1.5000000000000002,0.3086956521739131,16.0
84,0.0,0.8260869565217391,0.8347826086956521,,1.6608695652173915,1.0260869565217392,,1.434782608695652,9.0,0.06521739130434782,0.08695652173913043,,0.15217391304347827,0.30434782608695654,,0.15217391304347827,17.0
85,1.0,1.0434782608695652,1.3130434782608695,2.7,2.356521739130435,0.6869565217391305,1.4,1.9434782608695653,2.0,0.43913043478260866,0.6086956521739131,0.30000000000000004,1.047826086956522,1.482608695652174,0.1,1.1304347826086958,15.0
86,2.0,0.43043478260869567,0.5956521739130435,1.6,1.0260869565217392,1.4478260869565216,1.2000000000000002,0.9565217391304348,20.0,0.5043478260869566,0.9304347826086956,1.0,1.434782608695652,1.308695652173913,0.7000000000000001,1.482608695652174,4.0
87,1.0,0.2391304347826087,0.7391304347826086,0.0,0.9782608695652174,1.173913043478261,0.5,0.791304347826087,12.0,0.5608695652173913,0.7130434782608697,3.0000000000000004,1.273913043478261,1.2608695652173914,1.5000000000000002,1.1304347826086956,14.0
88,1.0,0.3869565217391305,0.691304347826087,0.0,1.0782608695652174,1.4782608695652173,0.0,1.0956521739130436,7.0,1.0260869565217392,1.126086956521739,3.0000000000000004,2.152173913043478,0.8521739130434783,1.7000000000000002,2.108695652173913,6.0
89,1.0,0.8043478260869565,0.8173913043478261,0.4,1.6217391304347826,1.2304347826086959,0.6000000000000001,1.4869565217391305,8.0,1.1434782608695653,1.1260869565217393,2.5000000000000004,2.2695652173913046,0.6608695652173914,1.6,1.856521739130435,1.0
90,0.0,0.548936170212766,0.697872340425532,0.4,1.246808510638298,1.2765957446808511,0.0,1.127659574468085,15.0,0.8595744680851065,1.1659574468085108,2.2,2.0255319148936173,1.0382978723404257,1.1,2.1319148936170214,2.0
91,0.0,0.4340425531914893,1.0127659574468086,0.5,1.446808510638298,1.3106382978723405,1.3,1.5191489361702128,5.0,0.44255319148936173,0.8893617021276595,2.0,1.3319148936170215,1.0468085106382978,2.2,1.0595744680851065,10.0
92,1.0,1.0042553191489363,1.102127659574468,2.4000000000000004,2.106382978723404,0.8553191489361702,2.4000000000000004,2.0638297872340425,8.0,1.0212765957446808,1.348936170212766,0.6000000000000001,2.370212765957447,0.6936170212765957,1.2000000000000002,1.9446808510638298,1.0
93,1.0,0.4297872340425532,0.5957446808510638,0.0,1.025531914893617,1.4936170212765958,0.1,1.1276595744680853,16.0,0.8085106382978723,0.8382978723404255,3.0000000000000004,1.646808510638298,1.025531914893617,2.0,1.425531914893617,9.0
94,1.0,1.1191489361702127,1.1021276595744682,2.8000000000000003,2.221276595744681,0.6893617021276597,1.7000000000000002,1.8382978723404257,3.0,0.38723404255319155,0.7702127659574469,0.1,1.1574468085106384,1.651063829787234,0.0,1.127659574468085,14.0
