,result,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_mu,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_home,t1_standing,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_tot,t2_standing
561,1.0,3.0,1.3888888888888888,1.0,1.8333333333333333,2.0,1.6111111111111112,1.0,10.0,0.0,1.851063829787234,0.8936170212765957,1.702127659574468,9.0
562,1.0,0.6,1.9361702127659575,2.4,1.0319148936170213,0.6,1.9787234042553192,1.0,2.0,2.4,2.1595744680851063,0.7340425531914894,2.1702127659574466,3.0
563,2.0,1.0,1.5851063829787233,1.2,1.2340425531914894,1.0,1.351063829787234,1.0,12.0,1.6,1.574468085106383,1.1808510638297873,1.4680851063829787,6.0
564,2.0,0.8,1.202127659574468,1.0,1.5212765957446808,0.6,1.1063829787234043,1.0,13.0,2.0,1.202127659574468,1.3404255319148937,0.9893617021276596,15.0
565,1.0,1.0,1.127659574468085,0.6666666666666666,1.5425531914893618,0.6666666666666666,1.202127659574468,1.0,7.0,1.0,0.9821428571428571,1.7321428571428572,1.0892857142857142,11.0
566,1.0,2.2,2.25531914893617,0.6,0.7659574468085106,1.2,2.0638297872340425,1.0,1.0,0.4,1.1382978723404256,1.3617021276595744,1.0957446808510638,5.0
567,2.0,0.3333333333333333,1.0535714285714286,2.0,1.5178571428571428,1.3333333333333333,1.2321428571428572,1.0,8.0,2.3333333333333335,1.5851063829787233,1.1702127659574468,1.6595744680851063,4.0
568,2.0,1.0,0.9642857142857143,1.3333333333333333,1.5535714285714286,0.3333333333333333,0.9107142857142857,1.0,18.0,2.0,1.0319148936170213,1.6382978723404256,0.9042553191489362,19.0
569,2.0,1.0,1.2234042553191489,2.0,1.074468085106383,1.6,1.0,1.0,17.0,1.6,1.053191489361702,1.5106382978723405,1.1170212765957446,20.0
570,2.0,2.0,1.831578947368421,0.0,0.9052631578947369,1.0,1.694736842105263,1.0,10.0,0.5,0.9473684210526315,1.5614035087719298,0.9122807017543859,19.0
571,1.0,3.0,2.136842105263158,0.75,0.7578947368421053,2.75,2.1578947368421053,1.0,4.0,0.0,1.1473684210526316,1.5263157894736843,1.2105263157894737,6.0
572,0.0,0.75,1.0526315789473684,2.75,1.631578947368421,1.0,0.9157894736842105,1.0,17.0,2.25,1.9473684210526316,1.0315789473684212,1.9894736842105263,2.0
573,0.0,0.5,1.2105263157894737,1.0,1.2280701754385965,0.5,0.9824561403508771,1.0,16.0,2.0,2.263157894736842,0.7578947368421053,2.0631578947368423,1.0
574,0.0,0.25,1.0736842105263158,2.5,1.5052631578947369,1.25,1.1368421052631579,1.0,20.0,2.5,1.5368421052631578,1.1368421052631579,1.431578947368421,14.0
575,1.0,1.75,1.6,1.5,1.168421052631579,2.0,1.6736842105263159,1.0,3.0,1.0,1.568421052631579,1.2421052631578948,1.3473684210526315,13.0
576,2.0,1.75,1.2210526315789474,0.75,1.3263157894736841,1.0,1.0,1.0,11.0,1.0,1.2105263157894737,1.0947368421052632,1.0,18.0
577,2.0,0.0,1.1263157894736842,0.0,1.368421052631579,0.0,1.0842105263157895,1.0,8.0,0.0,1.4736842105263157,1.7894736842105263,1.631578947368421,7.0
578,1.0,1.5,1.5894736842105264,1.0,1.1789473684210525,1.0,1.4736842105263157,1.0,5.0,1.5,1.0350877192982457,1.543859649122807,1.2280701754385965,9.0
579,2.0,1.0,0.9649122807017544,1.0,1.736842105263158,1.0,1.0701754385964912,1.0,12.0,1.0,1.1894736842105262,1.5263157894736843,1.0947368421052632,15.0
580,2.0,1.6666666666666667,1.0520833333333333,1.6666666666666667,1.6354166666666667,2.0,0.9270833333333334,1.0,17.0,0.6666666666666666,1.0172413793103448,1.5517241379310345,1.206896551724138,9.0
581,0.0,2.0,2.1458333333333335,0.6,0.75,2.2,2.1458333333333335,1.0,4.0,0.8,1.5520833333333333,1.2708333333333333,1.3333333333333333,15.0
582,2.0,0.3333333333333333,1.206896551724138,2.0,1.2241379310344827,1.0,0.9827586206896551,1.0,16.0,2.3333333333333335,1.9375,1.0416666666666667,1.9895833333333333,2.0
583,1.0,3.0,1.8125,0.4,0.90625,2.2,1.6770833333333333,1.0,10.0,0.0,1.1354166666666667,1.5208333333333333,1.1979166666666667,7.0
584,1.0,3.0,1.6145833333333333,2.0,1.15625,3.0,1.6979166666666667,1.0,3.0,0.0,1.55,1.7,1.65,6.0
585,1.0,0.4,1.2083333333333333,1.6,1.3333333333333333,0.8,0.9895833333333334,1.0,12.0,2.2,1.53125,1.1354166666666667,1.4270833333333333,13.0
586,1.0,1.8,1.1145833333333333,0.8,1.375,1.2,1.0729166666666667,1.0,8.0,0.6,1.2083333333333333,1.5208333333333333,1.1145833333333333,11.0
587,1.0,1.6,1.6041666666666667,0.6,1.1666666666666667,1.0,1.4791666666666667,1.0,5.0,1.0,1.2291666666666667,1.0833333333333333,1.0104166666666667,18.0
588,1.0,1.3333333333333333,1.0729166666666667,1.3333333333333333,1.5,1.3333333333333333,1.1354166666666667,1.0,20.0,1.3333333333333333,0.9827586206896551,1.5344827586206897,0.9137931034482759,19.0
589,2.0,0.3333333333333333,0.9482758620689655,3.6666666666666665,1.7586206896551724,0.6666666666666666,1.0689655172413792,1.0,14.0,2.3333333333333335,2.25,0.7604166666666666,2.0520833333333335,1.0
590,1.0,0.2,1.1958762886597938,2.2,1.5360824742268042,0.6,1.1030927835051547,1.0,12.0,2.6,1.824742268041237,0.9072164948453608,1.6804123711340206,10.0
591,0.0,1.2,1.1237113402061856,0.4,1.5257731958762886,1.0,1.1958762886597938,1.0,8.0,1.2,1.041237113402062,1.6288659793814433,0.9175257731958762,18.0
592,1.0,1.2,1.5154639175257731,1.0,1.1443298969072164,1.0,1.4123711340206186,1.0,14.0,1.2,1.6185567010309279,1.1546391752577319,1.4742268041237114,5.0
593,0.0,1.4,1.9484536082474226,1.4,1.0309278350515463,1.4,2.0,1.0,2.0,1.4,1.6288659793814433,1.1443298969072164,1.690721649484536,3.0
594,2.0,2.0,1.5463917525773196,0.8,1.288659793814433,1.4,1.3505154639175259,1.0,13.0,0.8,1.134020618556701,1.3608247422680413,1.092783505154639,7.0
595,1.0,1.3333333333333333,1.0508474576271187,2.0,1.5254237288135593,1.6666666666666667,1.2033898305084745,1.0,9.0,1.3333333333333333,1.092783505154639,1.4845360824742269,1.1443298969072164,17.0
596,1.0,0.0,0.9661016949152542,2.6666666666666665,1.5423728813559323,0.0,0.8983050847457628,1.0,20.0,3.0,2.134020618556701,0.7731958762886598,2.154639175257732,4.0
597,2.0,0.0,1.4761904761904763,2.0,1.6666666666666667,0.0,1.5714285714285714,1.0,6.0,3.0,1.1864406779661016,1.2542372881355932,0.9661016949152542,16.0
598,1.0,1.0,1.2164948453608246,1.0,1.0824742268041236,1.0,1.0,1.0,19.0,2.0,0.9322033898305084,1.7627118644067796,1.0677966101694916,15.0
599,1.0,3.0,2.2577319587628866,0.2,0.7628865979381443,2.8,2.051546391752577,1.0,1.0,0.0,1.2268041237113403,1.3195876288659794,1.0,11.0
600,0.0,0.2,1.6020408163265305,2.6,1.163265306122449,0.8,1.469387755102041,1.0,5.0,2.6,2.2653061224489797,0.7653061224489796,2.0510204081632653,1.0
601,0.0,2.0,1.8061224489795917,0.6,0.9285714285714286,1.2,1.6734693877551021,1.0,10.0,0.8,1.530612244897959,1.1428571428571428,1.4183673469387754,13.0
602,0.0,0.3333333333333333,1.2166666666666666,0.6666666666666666,1.25,0.0,0.9833333333333333,1.0,15.0,2.3333333333333335,1.530612244897959,1.2857142857142858,1.336734693877551,14.0
603,0.0,1.3333333333333333,1.153061224489796,2.3333333333333335,1.346938775510204,1.3333333333333333,1.0918367346938775,1.0,6.0,1.3333333333333333,1.0833333333333333,1.5,1.2666666666666666,7.0
604,2.0,0.4,1.0816326530612246,1.4,1.5204081632653061,0.4,1.1326530612244898,1.0,20.0,2.2,1.9387755102040816,1.0204081632653061,1.9795918367346939,2.0
605,1.0,2.6,2.1122448979591835,0.4,0.7755102040816326,2.4,2.13265306122449,1.0,4.0,0.2,1.2142857142857142,1.530612244897959,1.1224489795918366,11.0
606,1.0,2.0,1.6224489795918366,0.6666666666666666,1.1326530612244898,1.6666666666666667,1.6734693877551021,1.0,3.0,1.0,1.0,1.5166666666666666,0.9,18.0
607,1.0,0.8,1.2142857142857142,1.6,1.3265306122448979,1.2,1.0,1.0,12.0,2.0,1.1224489795918366,1.5204081632653061,1.1938775510204083,9.0
608,1.0,0.0,0.9166666666666666,2.0,1.7833333333333334,1.0,1.05,1.0,16.0,3.0,1.4090909090909092,1.6818181818181819,1.5454545454545454,8.0
609,0.0,0.4,1.0408163265306123,1.4,1.6224489795918366,0.4,0.9183673469387755,1.0,19.0,2.2,1.2346938775510203,1.0714285714285714,1.0204081632653061,17.0
610,2.0,0.0,1.1111111111111112,2.4,1.5252525252525253,0.6,1.1818181818181819,1.0,9.0,3.0,2.121212121212121,0.7676767676767676,2.1313131313131315,4.0
611,1.0,1.6666666666666667,1.202020202020202,1.0,1.5353535353535352,1.6666666666666667,1.1111111111111112,1.0,12.0,0.6666666666666666,0.9508196721311475,1.7868852459016393,1.0819672131147542,14.0
612,1.0,0.8,1.5252525252525253,2.4,1.2828282828282829,1.2,1.3333333333333333,1.0,15.0,2.0,1.6363636363636365,1.1515151515151516,1.696969696969697,3.0
613,1.0,2.0,1.9494949494949494,1.2,1.0101010101010102,2.6,1.9898989898989898,1.0,2.0,0.8,1.0404040404040404,1.6161616161616161,0.9191919191919192,19.0
614,2.0,3.0,1.3478260869565217,0.0,1.7391304347826086,2.0,1.565217391304348,1.0,8.0,0.0,1.1515151515151516,1.3434343434343434,1.0909090909090908,6.0
615,0.0,2.2,1.5252525252525253,1.2,1.1515151515151516,2.2,1.4242424242424243,1.0,13.0,0.4,1.0707070707070707,1.5353535353535352,1.121212121212121,20.0
616,1.0,1.4,1.2323232323232323,0.8,1.0707070707070707,1.0,1.02020202020202,1.0,17.0,1.4,1.2323232323232323,1.3131313131313131,1.0101010101010102,10.0
617,1.0,1.6666666666666667,2.2525252525252526,0.6666666666666666,0.7575757575757576,1.0,2.0303030303030303,1.0,1.0,0.6666666666666666,1.2131147540983607,1.2459016393442623,0.9836065573770492,16.0
618,0.0,1.0,1.0819672131147542,1.3333333333333333,1.4918032786885247,0.6666666666666666,1.2622950819672132,1.0,7.0,2.0,1.595959595959596,1.1515151515151516,1.4545454545454546,5.0
619,2.0,1.3333333333333333,0.9836065573770492,0.6666666666666666,1.5573770491803278,0.3333333333333333,0.9344262295081968,1.0,18.0,1.3333333333333333,1.797979797979798,0.9393939393939394,1.6767676767676767,11.0
620,2.0,0.6,1.22,2.2,1.52,1.0,1.12,1.0,10.0,2.4,1.59,1.15,1.45,5.0
621,2.0,1.0,1.2916666666666667,0.0,1.75,0.0,1.5416666666666667,1.0,9.0,1.0,1.07,1.54,1.13,20.0
622,1.0,2.0,1.1,1.3333333333333333,1.55,1.6666666666666667,1.17,1.0,11.0,1.0,0.967741935483871,1.5806451612903225,0.9193548387096774,18.0
623,1.0,2.3333333333333335,1.25,0.3333333333333333,1.06,1.0,1.03,1.0,15.0,0.3333333333333333,1.0806451612903225,1.4838709677419355,1.2580645161290323,7.0
624,1.0,1.2,1.81,0.6,0.93,1.0,1.69,1.0,8.0,1.2,1.22,1.32,1.0,12.0
625,0.0,0.6666666666666666,1.1935483870967742,1.6666666666666667,1.3064516129032258,0.3333333333333333,0.967741935483871,1.0,17.0,1.6666666666666667,1.62,1.15,1.68,3.0
626,1.0,1.2,2.26,1.2,0.75,1.2,2.06,1.0,1.0,1.2,1.54,1.27,1.33,14.0
627,0.0,1.0,0.9354838709677419,1.3333333333333333,1.7903225806451613,1.3333333333333333,1.064516129032258,1.0,16.0,2.0,1.03,1.63,0.91,19.0
628,1.0,2.2,1.96,1.2,1.0,2.8,2.0,1.0,2.0,0.4,1.52,1.16,1.43,13.0
629,2.0,0.6,1.17,3.6,1.34,1.6,1.1,1.0,6.0,2.4,2.13,0.76,2.15,4.0
630,2.0,1.2,2.1386138613861387,1.0,0.7722772277227723,0.8,2.1683168316831685,1.0,3.0,1.8,1.8217821782178218,0.9207920792079208,1.693069306930693,7.0
631,2.0,1.3333333333333333,1.0891089108910892,1.0,1.5346534653465347,1.3333333333333333,1.1485148514851484,1.0,18.0,1.3333333333333333,1.1904761904761905,1.3174603174603174,0.9841269841269841,17.0
632,1.0,0.0,0.9523809523809523,2.0,1.5714285714285714,0.3333333333333333,0.9047619047619048,1.0,20.0,3.0,2.267326732673267,0.7524752475247525,2.0693069306930694,1.0
633,0.0,1.6,1.5247524752475248,0.8,1.2871287128712872,1.2,1.3267326732673268,1.0,15.0,1.0,1.2673267326732673,1.0495049504950495,1.0297029702970297,13.0
634,1.0,1.0,1.504950495049505,2.0,1.1683168316831682,2.0,1.4257425742574257,1.0,14.0,1.0,1.24,1.8,1.52,10.0
635,1.0,2.0,1.613861386138614,1.3333333333333333,1.1584158415841583,2.3333333333333335,1.683168316831683,1.0,4.0,1.0,0.9365079365079365,1.7936507936507937,1.0793650793650793,16.0
636,0.0,1.0,1.0634920634920635,2.0,1.4761904761904763,0.6666666666666666,1.2380952380952381,1.0,8.0,2.0,1.9702970297029703,1.0,2.0,2.0
637,1.0,1.4,1.603960396039604,1.8,1.1386138613861385,1.8,1.4455445544554455,1.0,5.0,1.4,1.118811881188119,1.5346534653465347,1.1683168316831682,9.0
