result,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_mu,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_standing,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_tot,t2_standing
1,1.75,1.5714285714,1.25,1.1758241758,1.5,1.6593406593,4,1,1.1318681319,1.5604395604,1.2197802198,6
0,0.75,1.043956044,1.25,1.6483516484,0.75,0.9010989011,18,1.5,1.2307692308,1.3406593407,1,8
1,1.75,2.2717391304,1,0.7608695652,1.5,2.0869565217,1,1,1.9456521739,1.0434782609,2.0108695652,2
0,1.75,1.597826087,1.25,1.1630434783,1,1.4782608696,5,1,2.1630434783,0.7282608696,2.1847826087,3
1,0.5,1.1195652174,1.75,1.5543478261,0.5,1.2065217391,6,2,1.2173913043,1.5217391304,1.1086956522,11
1,0,0.9259259259,1.5,1.5925925926,0.5,0.9074074074,19,3,1.2592592593,1.2222222222,1.0185185185,14
1,0,0.9814814815,4,1.5555555556,0.5,1.1851851852,12,3,1.8586956522,0.8804347826,1.7173913043,8
1,3,1.5543478261,1,1.2391304348,2,1.3369565217,16,0,1,1.7407407407,1.0925925926,9
0,2.25,1.5326086957,0.5,1.152173913,1.75,1.4456521739,15,0.75,1.0434782609,1.652173913,0.9130434783,18
0,1.25,1.2391304348,0.25,1.0869565217,0.25,1.0217391304,17,1.25,1.1195652174,1.3913043478,1.1086956522,7
2,1,1.0652173913,1.75,1.5,0.75,1.1195652174,20,1.75,1.5869565217,1.1630434783,1.652173913,4
1,1.75,2.1505376344,1.25,0.7311827957,1,2.1720430108,4,1,2.2795698925,0.752688172,2.0752688172,1
1,2.25,1.9247311828,1,1.0430107527,2.5,1.9892473118,2,0.75,1.2150537634,1.3440860215,1,12
1,1.25,1.8387096774,0.75,0.9032258065,0.5,1.7096774194,9,1.25,1.2365591398,1.0752688172,1.0107526882,17
2,1,1.0430107527,1.5,1.6344086022,0.75,0.9032258065,18,1.75,1.5698924731,1.2365591398,1.3440860215,14
2,0.75,1.6021505376,1.5,1.1612903226,0.5,1.6666666667,3,2.25,1.5268817204,1.1397849462,1.4301075269,15
0,0.75,1.2043010753,1.25,1.5268817204,0.5,1.1075268817,13,1.5,1.0537634409,1.5161290323,1.1182795699,20
1,1.75,1.1182795699,1,1.376344086,1.5,1.0967741935,7,1,1.1397849462,1.5483870968,1.2150537634,6
0,1.6666666667,1.5425531915,1,1.1382978723,1.6666666667,1.4361702128,14,0.6666666667,1.2142857143,1.2321428571,0.9821428571,16
1,3,1.3888888889,1,1.8333333333,2,1.6111111111,10,0,1.8510638298,0.8936170213,1.7021276596,9
1,0.6,1.9361702128,2.4,1.0319148936,0.6,1.9787234043,2,2.4,2.1595744681,0.7340425532,2.170212766,3
2,1,1.585106383,1.2,1.2340425532,1,1.3510638298,12,1.6,1.5744680851,1.1808510638,1.4680851064,6
2,0.8,1.2021276596,1,1.5212765957,0.6,1.1063829787,13,2,1.2021276596,1.3404255319,0.9893617021,15
1,1,1.1276595745,0.6666666667,1.5425531915,0.6666666667,1.2021276596,7,1,0.9821428571,1.7321428571,1.0892857143,11
1,2.2,2.2553191489,0.6,0.7659574468,1.2,2.0638297872,1,0.4,1.1382978723,1.3617021277,1.0957446809,5
2,0.3333333333,1.0535714286,2,1.5178571429,1.3333333333,1.2321428571,8,2.3333333333,1.585106383,1.170212766,1.6595744681,4
2,1,0.9642857143,1.3333333333,1.5535714286,0.3333333333,0.9107142857,18,2,1.0319148936,1.6382978723,0.9042553191,19
2,1,1.2234042553,2,1.0744680851,1.6,1,17,1.6,1.0531914894,1.5106382979,1.1170212766,20
2,2,1.8315789474,0,0.9052631579,1,1.6947368421,10,0.5,0.9473684211,1.5614035088,0.9122807018,19
1,3,2.1368421053,0.75,0.7578947368,2.75,2.1578947368,4,0,1.1473684211,1.5263157895,1.2105263158,6
0,0.75,1.0526315789,2.75,1.6315789474,1,0.9157894737,17,2.25,1.9473684211,1.0315789474,1.9894736842,2
0,0.5,1.2105263158,1,1.2280701754,0.5,0.9824561404,16,2,2.2631578947,0.7578947368,2.0631578947,1
0,0.25,1.0736842105,2.5,1.5052631579,1.25,1.1368421053,20,2.5,1.5368421053,1.1368421053,1.4315789474,14
1,1.75,1.6,1.5,1.1684210526,2,1.6736842105,3,1,1.5684210526,1.2421052632,1.3473684211,13
2,1.75,1.2210526316,0.75,1.3263157895,1,1,11,1,1.2105263158,1.0947368421,1,18
1,1.5,1.5894736842,1,1.1789473684,1,1.4736842105,5,1.5,1.0350877193,1.5438596491,1.2280701754,9
2,1,0.9649122807,1,1.7368421053,1,1.0701754386,12,1,1.1894736842,1.5263157895,1.0947368421,15
2,1.6666666667,1.0520833333,1.6666666667,1.6354166667,2,0.9270833333,17,0.6666666667,1.0172413793,1.5517241379,1.2068965517,9
0,2,2.1458333333,0.6,0.75,2.2,2.1458333333,4,0.8,1.5520833333,1.2708333333,1.3333333333,15
2,0.3333333333,1.2068965517,2,1.224137931,1,0.9827586207,16,2.3333333333,1.9375,1.0416666667,1.9895833333,2
1,3,1.8125,0.4,0.90625,2.2,1.6770833333,10,0,1.1354166667,1.5208333333,1.1979166667,7
1,3,1.6145833333,2,1.15625,3,1.6979166667,3,0,1.55,1.7,1.65,6
1,0.4,1.2083333333,1.6,1.3333333333,0.8,0.9895833333,12,2.2,1.53125,1.1354166667,1.4270833333,13
1,1.8,1.1145833333,0.8,1.375,1.2,1.0729166667,8,0.6,1.2083333333,1.5208333333,1.1145833333,11
1,1.6,1.6041666667,0.6,1.1666666667,1,1.4791666667,5,1,1.2291666667,1.0833333333,1.0104166667,18
1,1.3333333333,1.0729166667,1.3333333333,1.5,1.3333333333,1.1354166667,20,1.3333333333,0.9827586207,1.5344827586,0.9137931034,19
2,0.3333333333,0.9482758621,3.6666666667,1.7586206897,0.6666666667,1.0689655172,14,2.3333333333,2.25,0.7604166667,2.0520833333,1
1,0.2,1.1958762887,2.2,1.5360824742,0.6,1.1030927835,12,2.6,1.824742268,0.9072164948,1.6804123711,10
0,1.2,1.1237113402,0.4,1.5257731959,1,1.1958762887,8,1.2,1.0412371134,1.6288659794,0.9175257732,18
1,1.2,1.5154639175,1,1.1443298969,1,1.412371134,14,1.2,1.618556701,1.1546391753,1.4742268041,5
0,1.4,1.9484536082,1.4,1.0309278351,1.4,2,2,1.4,1.6288659794,1.1443298969,1.6907216495,3
2,2,1.5463917526,0.8,1.2886597938,1.4,1.3505154639,13,0.8,1.1340206186,1.3608247423,1.0927835052,7
1,1.3333333333,1.0508474576,2,1.5254237288,1.6666666667,1.2033898305,9,1.3333333333,1.0927835052,1.4845360825,1.1443298969,17
1,0,0.9661016949,2.6666666667,1.5423728814,0,0.8983050847,20,3,2.1340206186,0.7731958763,2.1546391753,4
2,0,1.4761904762,2,1.6666666667,0,1.5714285714,6,3,1.186440678,1.2542372881,0.9661016949,16
1,1,1.2164948454,1,1.0824742268,1,1,19,2,0.9322033898,1.7627118644,1.0677966102,15
1,3,2.2577319588,0.2,0.7628865979,2.8,2.0515463918,1,0,1.2268041237,1.3195876289,1,11
0,0.2,1.6020408163,2.6,1.1632653061,0.8,1.4693877551,5,2.6,2.2653061224,0.7653061224,2.0510204082,1
0,2,1.806122449,0.6,0.9285714286,1.2,1.6734693878,10,0.8,1.5306122449,1.1428571429,1.4183673469,13
0,0.3333333333,1.2166666667,0.6666666667,1.25,0,0.9833333333,15,2.3333333333,1.5306122449,1.2857142857,1.3367346939,14
0,1.3333333333,1.1530612245,2.3333333333,1.3469387755,1.3333333333,1.0918367347,6,1.3333333333,1.0833333333,1.5,1.2666666667,7
2,0.4,1.0816326531,1.4,1.5204081633,0.4,1.1326530612,20,2.2,1.9387755102,1.0204081633,1.9795918367,2
1,2.6,2.112244898,0.4,0.7755102041,2.4,2.1326530612,4,0.2,1.2142857143,1.5306122449,1.1224489796,11
1,2,1.6224489796,0.6666666667,1.1326530612,1.6666666667,1.6734693878,3,1,1,1.5166666667,0.9,18
1,0.8,1.2142857143,1.6,1.3265306122,1.2,1,12,2,1.1224489796,1.5204081633,1.193877551,9
1,0,0.9166666667,2,1.7833333333,1,1.05,16,3,1.4090909091,1.6818181818,1.5454545455,8
0,0.4,1.0408163265,1.4,1.6224489796,0.4,0.9183673469,19,2.2,1.2346938776,1.0714285714,1.0204081633,17
2,0,1.1111111111,2.4,1.5252525253,0.6,1.1818181818,9,3,2.1212121212,0.7676767677,2.1313131313,4
1,1.6666666667,1.202020202,1,1.5353535354,1.6666666667,1.1111111111,12,0.6666666667,0.9508196721,1.7868852459,1.0819672131,14
1,0.8,1.5252525253,2.4,1.2828282828,1.2,1.3333333333,15,2,1.6363636364,1.1515151515,1.696969697,3
1,2,1.9494949495,1.2,1.0101010101,2.6,1.9898989899,2,0.8,1.0404040404,1.6161616162,0.9191919192,19
2,3,1.347826087,0,1.7391304348,2,1.5652173913,8,0,1.1515151515,1.3434343434,1.0909090909,6
0,2.2,1.5252525253,1.2,1.1515151515,2.2,1.4242424242,13,0.4,1.0707070707,1.5353535354,1.1212121212,20
1,1.4,1.2323232323,0.8,1.0707070707,1,1.0202020202,17,1.4,1.2323232323,1.3131313131,1.0101010101,10
1,1.6666666667,2.2525252525,0.6666666667,0.7575757576,1,2.0303030303,1,0.6666666667,1.2131147541,1.2459016393,0.9836065574,16
0,1,1.0819672131,1.3333333333,1.4918032787,0.6666666667,1.262295082,7,2,1.595959596,1.1515151515,1.4545454545,5
2,1.3333333333,0.9836065574,0.6666666667,1.5573770492,0.3333333333,0.9344262295,18,1.3333333333,1.797979798,0.9393939394,1.6767676768,11
2,0.6,1.22,2.2,1.52,1,1.12,10,2.4,1.59,1.15,1.45,5
2,1,1.2916666667,0,1.75,0,1.5416666667,9,1,1.07,1.54,1.13,20
1,2,1.1,1.3333333333,1.55,1.6666666667,1.17,11,1,0.9677419355,1.5806451613,0.9193548387,18
1,2.3333333333,1.25,0.3333333333,1.06,1,1.03,15,0.3333333333,1.0806451613,1.4838709677,1.2580645161,7
1,1.2,1.81,0.6,0.93,1,1.69,8,1.2,1.22,1.32,1,12
0,0.6666666667,1.1935483871,1.6666666667,1.3064516129,0.3333333333,0.9677419355,17,1.6666666667,1.62,1.15,1.68,3
1,1.2,2.26,1.2,0.75,1.2,2.06,1,1.2,1.54,1.27,1.33,14
0,1,0.935483871,1.3333333333,1.7903225806,1.3333333333,1.064516129,16,2,1.03,1.63,0.91,19
1,2.2,1.96,1.2,1,2.8,2,2,0.4,1.52,1.16,1.43,13
2,0.6,1.17,3.6,1.34,1.6,1.1,6,2.4,2.13,0.76,2.15,4
2,1.2,2.1386138614,1,0.7722772277,0.8,2.1683168317,3,1.8,1.8217821782,0.9207920792,1.6930693069,7
2,1.3333333333,1.0891089109,1,1.5346534653,1.3333333333,1.1485148515,18,1.3333333333,1.1904761905,1.3174603175,0.9841269841,17
1,0,0.9523809524,2,1.5714285714,0.3333333333,0.9047619048,20,3,2.2673267327,0.7524752475,2.0693069307,1
0,1.6,1.5247524752,0.8,1.2871287129,1.2,1.3267326733,15,1,1.2673267327,1.0495049505,1.0297029703,13
1,1,1.504950495,2,1.1683168317,2,1.4257425743,14,1,1.24,1.8,1.52,10
1,2,1.6138613861,1.3333333333,1.1584158416,2.3333333333,1.6831683168,4,1,0.9365079365,1.7936507937,1.0793650794,16
0,1,1.0634920635,2,1.4761904762,0.6666666667,1.2380952381,8,2,1.9702970297,1,2,2
1,1.4,1.603960396,1.8,1.1386138614,1.8,1.4455445545,5,1.4,1.1188118812,1.5346534653,1.1683168317,9
1,0.8,1.0297029703,1.4,1.6336633663,1.2,0.9207920792,19,2,1.2079207921,1.5148514851,1.1089108911,11
1,1.4,1.2079207921,0.8,1.3267326733,0.4,0.9900990099,12,1.4,1.1584158416,1.3663366337,1.1089108911,6
0,0.2,1.2647058824,2,1.0588235294,0.8,1.0392156863,14,2.6,2.1176470588,0.7745098039,2.1470588235,4
1,0.8,1.1078431373,1.8,1.5392156863,0.8,1.1666666667,9,2,1.5196078431,1.1862745098,1.4607843137,11
2,1.6,1.1470588235,1.2,1.3823529412,1.4,1.1176470588,7,1,1.6176470588,1.137254902,1.4509803922,5
1,3,1.9607843137,0.3333333333,1.0294117647,2.3333333333,2.0196078431,2,0,0.984375,1.5625,0.921875,19
1,1.3333333333,1.21875,1,1.296875,1,0.984375,16,1.3333333333,1.2254901961,1.3333333333,1.0098039216,10
0,3,1.1960784314,0.6666666667,1.5392156863,2.3333333333,1.1274509804,12,0,1.0625,1.515625,1.28125,8
0,0,1.1923076923,3,1.9230769231,2,1.5769230769,13,3,1.5196078431,1.2941176471,1.3333333333,15
0,1.6,1.8333333333,1.2,0.9117647059,1.4,1.6862745098,6,1,1.0490196078,1.6470588235,0.9509803922,18
0,1.6666666667,0.921875,1.3333333333,1.8125,1.6666666667,1.0625,17,0.6666666667,1.0784313725,1.5294117647,1.137254902,20
1,2.6,2.2450980392,0.6,0.7647058824,1.6,2.0588235294,1,0.2,1.6274509804,1.1470588235,1.6960784314,3
1,1.3333333333,2.1067961165,0.3333333333,0.7669902913,1,2.1262135922,4,1.3333333333,1.2461538462,1.2769230769,0.9846153846,15
0,1.6,1.6310679612,2,1.1359223301,1.8,1.4563106796,5,1,1.9708737864,1.0194174757,2.0194174757,2
0,3,1.213592233,0,1.3300970874,2,1,10,0,0.9230769231,1.8307692308,1.0923076923,17
0,1.6,1.6116504854,1.6,1.1553398058,2,1.6893203883,3,1,1.2621359223,1.0485436893,1.0291262136,13
1,0.2,1.0776699029,2.4,1.5436893204,0.4,1.1553398058,19,2.6,1.8252427184,0.9126213592,1.6796116505,6
1,1.2,1.5145631068,1.4,1.2912621359,1.2,1.3300970874,16,1.8,1.1941747573,1.5242718447,1.1165048544,11
1,2.2,1.5048543689,0.6,1.1941747573,2,1.4466019417,14,0.4,1.1359223301,1.3883495146,1.1165048544,7
0,1,1.0615384615,2,1.4923076923,0.6666666667,1.2615384615,9,2,1.1262135922,1.5242718447,1.1747572816,8
2,0,1.0485436893,3,1.640776699,0.2,0.9514563107,18,3,2.2524271845,0.7669902913,2.0582524272,1
1,0,0.9692307692,2,1.5692307692,1,0.9076923077,20,3,1.1851851852,1.8888888889,1.5555555556,12
2,0,1.1428571429,4,1.9642857143,0,1.5,15,3,2.1153846154,0.7692307692,2.1346153846,3
0,2,1,1,1.5454545455,1,0.9545454545,18,1,1.625,1.1538461538,1.4711538462,5
1,1.8,1.8076923077,1.4,0.9326923077,2.2,1.6730769231,6,1.2,2.2596153846,0.7596153846,2.0769230769,1
1,2,1.6057692308,0.6,1.1538461538,1.6,1.6826923077,4,0.8,1.0384615385,1.6634615385,0.9423076923,20
0,1.2,1.9615384615,0.6,1.0384615385,0.8,2.0288461538,2,1.2,1.125,1.3942307692,1.1057692308,8
1,0.4,1.125,2.4,1.5192307692,1,1.1730769231,7,2.2,1.5288461538,1.2884615385,1.3557692308,12
1,0.8,1.2596153846,1.2,1.0480769231,1,1.0288461538,13,2,1.1826923077,1.5480769231,1.1153846154,14
2,1.6666666667,1.0606060606,0.6666666667,1.4848484848,1,1.2575757576,9,0.6666666667,1.5192307692,1.1826923077,1.4519230769,10
1,1.4,1.0961538462,1,1.5384615385,1,1.1730769231,19,1.4,1.2115384615,1.3269230769,1,11
2,0,1.2272727273,3,1.303030303,1,0.9848484848,16,3,0.9242424242,1.8181818182,1.0909090909,17
1,1.2,2.1238095238,1.6,0.7714285714,1.4,2.1428571429,3,1.8,1.619047619,1.1428571429,1.6761904762,4
2,0.8,1.1238095238,1.6,1.380952381,0.6,1.0952380952,8,2,1.819047619,0.9333333333,1.6857142857,6
1,2,1.5333333333,0.6,1.180952381,1.2,1.4571428571,9,0.8,1.2761904762,1.0571428571,1.0476190476,11
2,1.6666666667,1.5142857143,1.3333333333,1.3047619048,1.6666666667,1.3619047619,13,0.6666666667,1,1.5671641791,0.9850746269,19
0,3,1.1714285714,1,1.5619047619,2,1.1238095238,14,0,1.1034482759,2,1.4827586207,15
1,2.6,2.2380952381,0.6,0.780952381,2.2,2.0666666667,1,0.2,1.1428571429,1.5238095238,1.1904761905,7
1,1.6666666667,1.2,1.3333333333,1.3428571429,1.6666666667,0.9904761905,12,0.6666666667,1.0447761194,1.4925373134,1.2537313433,10
0,1,0.9552238806,2,1.8059701493,1.3333333333,1.1194029851,16,2,1.9523809524,1.0285714286,2.0095238095,2
1,0.3333333333,1.0285714286,1.3333333333,1.6571428571,0.6666666667,0.9333333333,20,2.3333333333,1.2089552239,1.328358209,0.9850746269,18
0,2.4,1.619047619,0.4,1.1714285714,1.4,1.4857142857,5,0.6,1.1142857143,1.5238095238,1.1904761905,17
1,2,1.6037735849,1,1.1509433962,1.8,1.6603773585,4,0.8,1.1132075472,1.3867924528,1.0849056604,9
1,1,1.2641509434,2,1.0660377358,2,1.0471698113,12,1,1.1,2,1.5,15
0,2.4,1.9433962264,1,1.0377358491,3.4,2.0094339623,2,0.6,1.1698113208,1.5660377358,1.1320754717,13
1,0.3333333333,1.1911764706,2,1.3382352941,1.3333333333,0.9852941176,19,2.3333333333,1.1320754717,1.5188679245,1.179245283,7
0,0.6,1.5471698113,2,1.179245283,1.6,1.4622641509,8,1.8,1.5,1.3018867925,1.3490566038,14
1,1,1.0294117647,1,1.5294117647,1,1.2352941176,11,1,1.0294117647,1.5441176471,0.9852941176,18
0,0,1.2169811321,3,1.3301886792,0.4,1.0188679245,10,3,2.1320754717,0.7641509434,2.141509434,3
1,0,0.9558823529,2,1.8088235294,0,1.1323529412,16,3,1.8301886792,0.9245283019,1.6886792453,6
0,1.4,1.0471698113,2.4,1.6509433962,0.6,0.9433962264,20,1.4,1.6132075472,1.1603773585,1.4716981132,5
2,0,1.1132075472,2.6,1.5094339623,0,1.179245283,17,3,2.2452830189,0.7735849057,2.0566037736,1
1,1.2,1.8130841121,1.6,0.9345794393,1.2,1.6822429907,6,1.2,1.6168224299,1.1401869159,1.691588785,4
1,1,1.4953271028,2.6666666667,1.308411215,0.3333333333,1.3551401869,15,2,1.0579710145,1.5217391304,1.2753623188,9
2,0,1.064516129,6,2.0322580645,0,1.4516129032,17,3,1.9345794393,1.0280373832,1.9906542056,2
0,1,1.1682242991,1.6666666667,1.5514018692,1.3333333333,1.1214953271,14,2,1.2173913043,1.3333333333,1,16
1,3,1.1214953271,1,1.523364486,2.6,1.1775700935,8,0,1.1028037383,1.5327102804,1.1869158879,18
1,2.4,2.1214953271,0.8,0.7663551402,3.6,2.1308411215,3,0.6,1.046728972,1.6355140187,0.9345794393,20
1,1.4,2.2523364486,1.4,0.785046729,1.6,2.0747663551,1,1.4,1.2803738318,1.0560747664,1.0654205607,10
2,1,1.1028037383,1.3333333333,1.4205607477,1.3333333333,1.0747663551,12,2,0.9855072464,1.7971014493,1.1449275362,13
1,1.8,1.6074766355,1.2,1.1495327103,1.6,1.4579439252,5,1.2,1.214953271,1.3271028037,1.0186915888,11
2,1,1.0144927536,0.6666666667,1.5797101449,0.6666666667,0.9855072464,19,1,1.5420560748,1.1869158879,1.4672897196,7
1,0.2,1.6018518519,1.6,1.1574074074,0.4,1.6759259259,4,2.6,1.6203703704,1.1574074074,1.4722222222,5
1,1.8,1.2685185185,0.6,1.0648148148,1.2,1.0555555556,11,0.6,1.1388888889,1.5092592593,1.1944444444,8
1,0.6666666667,1.2037037037,1.3333333333,1.3425925926,1,1.0277777778,12,1.6666666667,1,1.6,0.9714285714,19
0,0.3333333333,1.0428571429,2,1.5142857143,0.6666666667,1.2571428571,9,2.3333333333,2.2592592593,0.7777777778,2.0740740741,1
0,1.8,1.9444444444,1.4,1.0277777778,1.8,2,2,0.6,1.8240740741,0.9259259259,1.6944444444,6
1,1.3333333333,1.2142857143,2,1.3285714286,1.6666666667,1,16,1.3333333333,1.0925925926,1.4351851852,1.0833333333,13
2,3,1.03125,0,2.0625,4,1.4375,17,0,1.037037037,1.6296296296,0.9259259259,20
1,1.4,1.5555555556,1.2,1.1759259259,1.6,1.4814814815,7,1.4,1.1666666667,1.5462962963,1.1203703704,15
2,0,1.0142857143,3.6666666667,1.8,0,1.1714285714,10,3,2.1296296296,0.7592592593,2.1203703704,3
2,1,1.0925925926,1.2,1.5462962963,0.6,1.1759259259,18,1.6,1.5092592593,1.2962962963,1.3518518519,14
2,0.4,1.1559633028,2.4,1.5504587156,1,1.1100917431,16,2.2,1.6146788991,1.1467889908,1.6697247706,4
1,0,1.128440367,2.8,1.5229357798,0.8,1.1834862385,8,3,1.9357798165,1.0275229358,1.9908256881,3
1,2.2,2.1376146789,0.8,0.7614678899,2,2.128440367,2,0.4,1.0825688073,1.5504587156,1.1743119266,19
0,1,1.5229357798,1.4,1.2935779817,1.2,1.3577981651,12,1.6,1.2201834862,1.3302752294,1.0458715596,10
0,3,1,0,2.0909090909,2,1.4242424242,18,0,1.0422535211,1.4929577465,1.2394366197,11
1,1,1.8165137615,1,0.9266055046,1,1.6880733945,6,1,1.2394366197,1.3098591549,1.014084507,15
1,0.6,1.0825688073,1.2,1.4403669725,0.8,1.0733944954,14,1.8,1.0550458716,1.623853211,0.9449541284,17
0,1.3333333333,1.6055045872,1,1.1559633028,0.6666666667,1.4587155963,5,1.3333333333,1,1.8169014085,1.1690140845,13
0,1.3333333333,0.985915493,1,1.6197183099,1,0.9577464789,20,1.3333333333,1.2844036697,1.0550458716,1.0733944954,9
1,1.6,2.247706422,1.4,0.7706422018,1.8,2.0550458716,1,1,1.5688073394,1.1651376147,1.4862385321,7
1,2,1.6272727273,0.8,1.1363636364,2,1.6636363636,4,0.8,1.0727272727,1.5636363636,1.1636363636,20
1,0.8,1.9181818182,1.4,1.0363636364,0.8,1.9818181818,3,2,2.2545454545,0.7636363636,2.0454545455,1
0,2,1.2222222222,0.6666666667,1.3611111111,1,1,15,1,0.9861111111,1.6111111111,0.9583333333,19
1,2,1.8272727273,1.3333333333,0.9181818182,3,1.7181818182,6,1,1.0416666667,1.4861111111,1.2361111111,11
1,1,2.1454545455,1,0.7545454545,1.2,2.1363636364,2,1.6,1.6,1.1636363636,1.4636363636,5
1,1.6,1.1454545455,0.8,1.5454545455,1.6,1.1,16,1,1.1454545455,1.5181818182,1.1909090909,8
0,3,1,0,2.0588235294,1,1.4117647059,17,0,1.2181818182,1.3272727273,1.0454545455,10
2,1.2,1.1,0.2,1.4454545455,0.2,1.1,12,1.2,1.2818181818,1.0545454545,1.0727272727,9
1,0,1,2,1.8194444444,1,1.1805555556,14,3,1.5181818182,1.2909090909,1.3545454545,13
0,0.8,1.0454545455,1.4,1.6454545455,0.4,0.9545454545,18,2,1.5545454545,1.1636363636,1.4727272727,7
2,1,1.2972972973,0.6,1.045045045,0.6,1.0900900901,9,1.6,1.8378378378,0.9099099099,1.7297297297,5
1,0.8,2.2342342342,1.2,0.7657657658,1.2,2.027027027,1,2,2.1531531532,0.7567567568,2.1351351351,2
1,0.6,1.2162162162,2.2,1.3153153153,0.8,1.036036036,10,2.4,1.9279279279,1.027027027,1.972972973,3
1,1,0.9863013699,1,1.602739726,1,0.9589041096,19,1,1.0273972603,1.8082191781,1.1917808219,11
0,0,1.5855855856,3,1.1711711712,1,1.4594594595,6,3,1,2,1.3714285714,17
0,2,1.5045045045,0.8,1.2972972973,1.6,1.3513513514,13,0.8,1.045045045,1.6396396396,0.954954955,18
2,0.8,1.1351351351,1.4,1.5135135135,0.8,1.1801801802,8,2,1.0900900901,1.4594594595,1.0900900901,14
1,2.4,1.5495495495,0.6,1.1621621622,1.6,1.4684684685,7,0.6,1.6396396396,1.1351351351,1.6666666667,4
1,3,1.0273972603,0,1.5068493151,2,1.2191780822,12,0,1.2191780822,1.3561643836,1,15
0,1.4,1.0630630631,0.6,1.5675675676,1.2,1.1621621622,20,0.8,1.1621621622,1.5315315315,1.0990990991,16
1,1.6,1.625,0.6,1.1428571429,1.4,1.6607142857,4,1,1.2321428571,1.3125,1.0535714286,8
2,1.6,1.9107142857,1.2,1.0446428571,1.8,1.9642857143,3,1,1.5,1.2946428571,1.3482142857,14
2,1.3333333333,1.2027027027,1,1.3648648649,1,1,16,1.3333333333,1.2857142857,1.0803571429,1.0982142857,10
2,1.2,1.8482142857,1.4,0.9196428571,1.6,1.7589285714,5,1.8,1.5803571429,1.1696428571,1.4553571429,6
1,0.6,1.0446428571,1.8,1.6339285714,1,0.9553571429,19,2.4,1.0625,1.5625,1.1607142857,20
0,1.6666666667,2.1339285714,0.3333333333,0.7678571429,1,2.125,2,0.6666666667,1.0540540541,1.5,1.2297297297,11
0,0.2,1.1607142857,2.6,1.5267857143,0.4,1.0982142857,15,2.6,2.2410714286,0.7678571429,2.0267857143,1
1,1,1,2,1.9722222222,2,1.3611111111,18,1,1.125,1.5178571429,1.1785714286,9
2,1,1.1071428571,2.3333333333,1.4553571429,2.6666666667,1.0982142857,12,2,1.0135135135,1.5945945946,0.9864864865,17
1,1,1.0135135135,1.6666666667,1.8243243243,1.6666666667,1.1891891892,13,2,1.5625,1.1607142857,1.4732142857,7
1,0.8,1.5132743363,2,1.2920353982,0.6,1.3539823009,13,2,1.8318584071,0.9292035398,1.7433628319,6
2,0.8,1.1150442478,1.4,1.5398230088,1,1.1946902655,10,2,1.6371681416,1.1327433628,1.6725663717,3
1,1.4,1.5486725664,1,1.1592920354,1.2,1.4601769912,7,0.8,2.1238938053,0.7787610619,2.1238938053,2
0,0.8,1.3008849558,1.4,1.0707964602,0.4,1.1061946903,8,2,1.8938053097,1.0530973451,1.9557522124,4
1,3,2.2300884956,2,0.7699115044,3,2.017699115,1,0,1.0540540541,2,1.4324324324,18
0,2,1.0533333333,2,1.5066666667,2,1.24,12,1,1.04,1.8,1.1866666667,11
2,1.4,1.2212389381,1,1.3274336283,1.4,1.0442477876,9,0.8,1.0619469027,1.6371681416,0.9734513274,19
1,1.6666666667,1.592920354,1,1.1592920354,1.3333333333,1.4601769912,5,0.6666666667,1.1866666667,1.3733333333,0.9866666667,17
2,2,1.0530973451,0.6,1.5752212389,1.2,1.1681415929,20,0.8,1.0973451327,1.4690265487,1.0973451327,14
2,0.3333333333,1.04,2.3333333333,1.5866666667,0.6666666667,1.0133333333,16,2.3333333333,1.1592920354,1.5221238938,1.0973451327,15
1,1.25,1.7368421053,1.5,1.1447368421,1.5,1.6052631579,5,1.25,1.5131578947,1.2368421053,1.4605263158,7
2,0.5,1.2368421053,2,1.8684210526,1.5,1.4736842105,11,2,2.1710526316,0.8552631579,2.1578947368,1
0,0.25,1.2236842105,3,1.2631578947,0.5,1.0526315789,13,2.5,2.0657894737,0.8552631579,2.2631578947,2
0,2,1.2105263158,2,1.5,2.5,1.4736842105,12,0.5,1.8815789474,1.1052631579,2.0394736842,4
2,2.5,1.2236842105,1,1.5,2.5,1.1447368421,15,0.25,1.0263157895,1.6052631579,1.0263157895,17
0,0.5,1.25,1.75,1.1710526316,0.75,1.1578947368,8,2,1.4736842105,1.2894736842,1.3157894737,9
0,1.75,1.5921052632,0.75,1.0394736842,1.75,1.5789473684,6,1,1.1973684211,1.4736842105,1.2236842105,10
1,2.5,2.1818181818,0.5,0.8571428571,2,2.1558441558,5,0.25,1.7532467532,1.1298701299,1.6103896104,3
2,0.25,1.1428571429,2,1.5974025974,0.75,1.2727272727,2,2.5,1.8311688312,1.012987013,1.7792207792,1
1,1.25,1.0519480519,1,1.5974025974,1,1.038961039,4,1.25,1.2467532468,1.1558441558,1.1428571429,13
1,3,2.0519480519,0.5,0.8441558442,4.5,2.2337662338,11,0,1.2051282051,1.8717948718,1.4615384615,16
1,0.75,1.4675324675,1.5,1.2727272727,1.25,1.2987012987,14,2.25,1.2077922078,1.5064935065,1.1428571429,17
