result,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_mu,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_standing,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_tot,t2_standing
0,0.25,1.253164557,2,1.4556962025,0.75,1.1518987342,20,2.5,1.3417721519,1.2405063291,1.1265822785,5
2,0,0.9873417722,3,1.4303797468,0.25,1,18,3,2.0886075949,0.7594936709,1.8987341772,12
1,1.5,1.1951219512,1,1.4390243902,0.5,0.9756097561,11,1.5,1.0253164557,1.4810126582,0.9367088608,8
1,0,1.3417721519,3.5,1.3797468354,1.5,1.5189873418,2,3,0.9512195122,1.5365853659,1.1463414634,10
1,0.75,1.1875,1.5,1.225,0.25,1.0125,10,2.25,1.675,0.975,1.4375,12
2,0,0.9285714286,3.5,1.5476190476,1,1.1428571429,14,3,1.6,1.3,1.6375,9
2,0.5,1.3625,1.75,1.375,0.75,1.525,2,2,2.325,0.6,1.95,4
1,0.75,1.425,1.5,1.3125,1,1.3375,5,2.25,2.05,0.925,1.9625,3
2,2.25,1.225,0.75,1.3,1.5,1.0875,20,0.75,0.975,1.45,1.0125,19
2,0,1.2380952381,2,1.4047619048,0.5,0.9761904762,7,3,2.25,0.65,1.7875,1
1,3,1.0125,0.5,1.475,2.5,0.925,11,0,0.9285714286,1.7142857143,1.0238095238,16
1,1,1.1,1,1.3,0.75,0.8875,17,1.75,1.3375,1.225,1.1125,6
1,1.25,2.2592592593,1.5,0.6543209877,1.75,1.7901234568,1,1.25,1.3456790123,1.3950617284,1.5185185185,3
1,0.75,1.6543209877,1,0.987654321,0.75,1.4320987654,12,1.5,1.2716049383,1.4320987654,1.1604938272,16
1,1.5,2.3333333333,0.75,0.6049382716,1,1.962962963,2,1.5,1.4444444444,1.3209876543,1.3703703704,4
2,1,1.3209876543,1.75,1.2222222222,0.25,1.0987654321,10,1.75,2.1111111111,0.7654320988,1.9382716049,6
1,2.5,2.024691358,0.25,0.962962963,1.75,1.962962963,5,0.25,1.1234567901,1.2839506173,0.8888888889,13
1,1,1.6172839506,1.25,1.2839506173,0.5,1.6296296296,8,1.75,1.2098765432,1.3209876543,1.0987654321,20
0,1.5,1,1.5,1.4567901235,1.5,1.037037037,19,1.5,1.2093023256,1.4186046512,0.976744186,11
1,1.75,1.4268292683,0.5,1.3536585366,1.5,1.3902439024,6,1,1.3048780488,1.243902439,1.1097560976,13
2,1,1.1951219512,1.25,1.2317073171,0.5,1.0243902439,9,1.75,2.0365853659,0.9512195122,1.987804878,3
